No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 12:12:23,780][0m Trial 20 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 9.554647799184778e-06, 'n_estimators': 148, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.18934261706438224, 'min_impurity_decrease': 0.7812238447793194, 'max_features': 0.06870332286799963, 'subsample': 0.7093599748278836, 'dropout_rate': 0.14098093730012615, 'ccp_alpha': 3.846804811453515}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:13:15,902][0m Trial 21 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.047227508651124024, 'n_estimators': 226, 'criterion': 'squared_error', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.023914906216288077, 'min_impurity_decrease': 0.9693294688346296, 'max_features': 0.37776634421098343, 'subsample': 0.9899183653796664, 'dropout_rate': 0.6758973913723809, 'ccp_alpha': 4.857123794431049}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:13:33,890][0m Trial 22 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.09486135735401904, 'n_estimators': 100, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.4210465758158291, 'min_impurity_decrease': 0.37015217543271595, 'max_features': 0.16723310968553048, 'subsample': 0.17930965696437223, 'dropout_rate': 0.9989260532371527, 'ccp_alpha': 0.10715671775076785}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:14:07,645][0m Trial 23 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.0748466836845472e-06, 'n_estimators': 137, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.4955117866897572, 'min_impurity_decrease': 0.7278111938951106, 'max_features': 0.632735128629994, 'subsample': 0.8696418493885475, 'dropout_rate': 0.007333516895478037, 'ccp_alpha': 3.8543833547320765}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:14:50,333][0m Trial 24 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.035490588250149856, 'n_estimators': 175, 'criterion': 'squared_error', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.009780255926732179, 'min_impurity_decrease': 0.9800527400008722, 'max_features': 0.10397397973911257, 'subsample': 0.9913599380340388, 'dropout_rate': 0.09363664851812707, 'ccp_alpha': 3.701455673900353}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:18:06,124][0m Trial 25 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.02468441498583553, 'n_estimators': 588, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.4149891681702627, 'min_impurity_decrease': 0.14032645344563188, 'max_features': 0.39780992028871087, 'subsample': 0.2146114197802064, 'dropout_rate': 0.6884534396662254, 'ccp_alpha': 0.49171090103109627}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:18:15,644][0m Trial 26 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.012800786334720577, 'n_estimators': 104, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.4215074265475719, 'min_impurity_decrease': 0.005627839909989147, 'max_features': 0.8404664788773444, 'subsample': 0.1909048768422639, 'dropout_rate': 0.22675197885946263, 'ccp_alpha': 0.5230460335716556}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:19:37,745][0m Trial 27 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.000947821470262918, 'n_estimators': 229, 'criterion': 'absolute_error', 'min_samples_split': 3, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3525669513121203, 'min_impurity_decrease': 0.36195732938507763, 'max_features': 0.7916718434048235, 'subsample': 0.8066176640473907, 'dropout_rate': 0.41540577513596977, 'ccp_alpha': 4.57803243867704}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:19:59,307][0m Trial 28 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.02776108163029055, 'n_estimators': 122, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3796572619499248, 'min_impurity_decrease': 0.1510973314890237, 'max_features': 0.40576256142196354, 'subsample': 0.916692702059981, 'dropout_rate': 0.5372278102762157, 'ccp_alpha': 0.3728252138285576}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:23:07,445][0m Trial 29 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.023622469809044377, 'n_estimators': 620, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.040059950936017774, 'min_impurity_decrease': 0.9975501539293677, 'max_features': 0.24644794635698586, 'subsample': 0.7711707757732976, 'dropout_rate': 0.44431807480149776, 'ccp_alpha': 3.3347209113951815}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:24:45,046][0m Trial 30 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 4.39164441534226e-05, 'n_estimators': 323, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.18836485364467032, 'min_impurity_decrease': 0.8610255955941908, 'max_features': 0.08002626815023539, 'subsample': 0.7313643550755088, 'dropout_rate': 0.34430928783136877, 'ccp_alpha': 4.289940494052519}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:33:31,372][0m Trial 31 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008618625055124004, 'n_estimators': 927, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.4590553563398587, 'min_impurity_decrease': 0.2247929574420353, 'max_features': 0.4062129533871611, 'subsample': 0.41738798725452586, 'dropout_rate': 0.44584816189932486, 'ccp_alpha': 0.5395157047693021}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:34:37,030][0m Trial 32 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0029690141173205876, 'n_estimators': 272, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.39225690035073196, 'min_impurity_decrease': 0.1445000546824348, 'max_features': 0.20259941827428846, 'subsample': 0.2644660292421414, 'dropout_rate': 0.5125581682350664, 'ccp_alpha': 0.6191646367931456}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:36:16,556][0m Trial 33 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 3.1042081544722014e-06, 'n_estimators': 359, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.32581750135827336, 'min_impurity_decrease': 0.15382678704162267, 'max_features': 0.8515135313388258, 'subsample': 0.9018820318860273, 'dropout_rate': 0.5745880698155981, 'ccp_alpha': 4.357028261833251}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:40:06,084][0m Trial 34 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 7.63759442402093e-06, 'n_estimators': 758, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.16525570247433516, 'min_impurity_decrease': 0.23656897386463238, 'max_features': 0.6000539894081445, 'subsample': 0.47668390254052, 'dropout_rate': 0.48061968912194053, 'ccp_alpha': 2.4680879274287792}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:40:50,679][0m Trial 35 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.2790434227135038e-06, 'n_estimators': 185, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.48073420633163344, 'min_impurity_decrease': 0.763103498255284, 'max_features': 0.6602002871486904, 'subsample': 0.8635290530199308, 'dropout_rate': 0.09421464694200309, 'ccp_alpha': 3.7598372640472943}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:47:48,188][0m Trial 36 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.003220617262622498, 'n_estimators': 993, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.45514052154768997, 'min_impurity_decrease': 0.09347161160163736, 'max_features': 0.46120702839932565, 'subsample': 0.06741639718728976, 'dropout_rate': 0.3889439677374337, 'ccp_alpha': 4.1379509787830635}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:50:20,747][0m Trial 37 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.009687441316921013, 'n_estimators': 558, 'criterion': 'absolute_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.10042370517762919, 'min_impurity_decrease': 0.8849121152119837, 'max_features': 0.10305464123191155, 'subsample': 0.254915672105809, 'dropout_rate': 0.6711065240392394, 'ccp_alpha': 3.36106146886602}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:50:57,756][0m Trial 38 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 2.2637834537953384e-06, 'n_estimators': 193, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.4895343007814786, 'min_impurity_decrease': 0.29778390769088053, 'max_features': 0.8683228797918705, 'subsample': 0.3583990572419492, 'dropout_rate': 0.6185774179890382, 'ccp_alpha': 4.71169943768094}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:51:01,100][0m Trial 39 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 7.5137995964912975e-06, 'n_estimators': 153, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.09614928640980167, 'min_impurity_decrease': 0.9338581967735295, 'max_features': 0.07537577590142347, 'subsample': 0.008590317109333001, 'dropout_rate': 0.8693369782766729, 'ccp_alpha': 2.9063953386316443}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:51:24,715][0m Trial 40 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.002783586642830126, 'n_estimators': 124, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.36757809964593463, 'min_impurity_decrease': 0.5793587385489852, 'max_features': 0.33980607712937283, 'subsample': 0.802684445693455, 'dropout_rate': 0.538590833546432, 'ccp_alpha': 1.9704947407694569}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:52:08,453][0m Trial 41 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.09330919510182928, 'n_estimators': 167, 'criterion': 'squared_error', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.0568683954062955, 'min_impurity_decrease': 0.9475195713755357, 'max_features': 0.13379056109581586, 'subsample': 0.9864211306687544, 'dropout_rate': 0.11693306440641858, 'ccp_alpha': 3.727136170214264}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:52:28,362][0m Trial 42 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.047338952410435356, 'n_estimators': 115, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1378130194149306, 'min_impurity_decrease': 0.5499120040239565, 'max_features': 0.34124864162561336, 'subsample': 0.8827503247814996, 'dropout_rate': 0.7268279628614711, 'ccp_alpha': 2.9828131908107234}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:53:12,277][0m Trial 43 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.08841229598874065, 'n_estimators': 169, 'criterion': 'squared_error', 'min_samples_split': 9, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.033675126742114814, 'min_impurity_decrease': 0.9551654578016603, 'max_features': 0.13640390357643417, 'subsample': 0.9965229398950146, 'dropout_rate': 0.002630403460298303, 'ccp_alpha': 3.637343650139952}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:53:26,072][0m Trial 44 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0432790856529785, 'n_estimators': 112, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12191527098815028, 'min_impurity_decrease': 0.5686770479544059, 'max_features': 0.3193442388001422, 'subsample': 0.9483553085284939, 'dropout_rate': 0.8637775274997714, 'ccp_alpha': 3.048649125953436}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:54:02,576][0m Trial 45 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.01992434512439298, 'n_estimators': 135, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.41654743301187624, 'min_impurity_decrease': 0.8221501611133183, 'max_features': 0.2384949069845858, 'subsample': 0.1952543121059155, 'dropout_rate': 0.013169903267411303, 'ccp_alpha': 3.5803741566635336}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:54:22,928][0m Trial 46 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.042873874136871465, 'n_estimators': 111, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.07793789795043943, 'min_impurity_decrease': 0.6662844838827552, 'max_features': 0.28740158371232327, 'subsample': 0.15355971885735248, 'dropout_rate': 0.9018967943138374, 'ccp_alpha': 4.055468976852708}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:55:18,747][0m Trial 47 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.013515153094498541, 'n_estimators': 200, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.4077842041526523, 'min_impurity_decrease': 0.8071305059318735, 'max_features': 0.225082772732198, 'subsample': 0.5472913375973645, 'dropout_rate': 0.1858321783284876, 'ccp_alpha': 2.4704721557859877}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:55:39,866][0m Trial 48 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.004554905731881989, 'n_estimators': 156, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.06880495448918006, 'min_impurity_decrease': 0.6453889643461105, 'max_features': 0.6984280133611223, 'subsample': 0.11522629349940111, 'dropout_rate': 0.9168941754480924, 'ccp_alpha': 4.002389385694128}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:56:35,044][0m Trial 49 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.022259728992965022, 'n_estimators': 206, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.37985619943984084, 'min_impurity_decrease': 0.4315202228784947, 'max_features': 0.4169680768227713, 'subsample': 0.5632129377075846, 'dropout_rate': 0.2253515377563914, 'ccp_alpha': 2.320117481442095}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:56:40,186][0m Trial 50 finished with value: -0.33718120733025436 and parameters: {'loss': 'squared', 'learning_rate': 0.005618548732049602, 'n_estimators': 158, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.336773959889362, 'min_impurity_decrease': 0.17330022816454455, 'max_features': 0.7298481669102305, 'subsample': 0.07867699278022902, 'dropout_rate': 0.7611468570510519, 'ccp_alpha': 0.33398495352072194}. Best is trial 4 with value: 0.25.[0m
