No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 12:02:05,163][0m Trial 40 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0003023665548498575, 'n_estimators': 344, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.006507364820925447, 'min_impurity_decrease': 0.16015409344245068, 'max_features': 0.29394269633177106, 'subsample': 0.24031463804752848, 'dropout_rate': 0.9909963810582462, 'ccp_alpha': 4.26764244701498}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:02:11,497][0m Trial 41 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.000591203767691621, 'n_estimators': 142, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.1819187502936465, 'min_impurity_decrease': 0.0941915953702534, 'max_features': 0.5350153584315835, 'subsample': 0.09923190254472877, 'dropout_rate': 0.17688491642288773, 'ccp_alpha': 1.6244622967255102}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:04:26,065][0m Trial 42 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0004938804554528721, 'n_estimators': 580, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.3357629251838358, 'min_impurity_decrease': 0.8285247708121362, 'max_features': 0.6723770704861077, 'subsample': 0.5489027177833932, 'dropout_rate': 0.05762954771517868, 'ccp_alpha': 0.9335498821495234}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:08:16,125][0m Trial 43 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006659398002976803, 'n_estimators': 827, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.1685351927125422, 'min_impurity_decrease': 0.08571314301699431, 'max_features': 0.5332744234223468, 'subsample': 0.49526029805596405, 'dropout_rate': 0.20974072004147473, 'ccp_alpha': 4.993762157624367}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:08:31,527][0m Trial 44 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.01140130357047929, 'n_estimators': 211, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.08495518214762764, 'min_impurity_decrease': 0.26772145702230776, 'max_features': 0.3540929301576578, 'subsample': 0.3874640467620048, 'dropout_rate': 0.15524647961451066, 'ccp_alpha': 3.64291727442553}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:13:25,675][0m Trial 45 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005612484546974287, 'n_estimators': 906, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.16008252446023463, 'min_impurity_decrease': 0.09900371934052082, 'max_features': 0.5501623315088628, 'subsample': 0.48158673143381575, 'dropout_rate': 0.19338023628525033, 'ccp_alpha': 4.987997293354689}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:13:45,372][0m Trial 46 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.002145082564580773, 'n_estimators': 214, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.0831710737213384, 'min_impurity_decrease': 0.31011963116755803, 'max_features': 0.3964140954529106, 'subsample': 0.3249818460683952, 'dropout_rate': 0.1459306358634192, 'ccp_alpha': 3.513892017594813}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:13:50,721][0m Trial 47 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009332762906529771, 'n_estimators': 103, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.20736525027662697, 'min_impurity_decrease': 0.8319234457644564, 'max_features': 0.6893043258268605, 'subsample': 0.04335850252854791, 'dropout_rate': 0.0029343126439899114, 'ccp_alpha': 1.7422460040733738}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:14:04,480][0m Trial 48 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.001933875905899822, 'n_estimators': 205, 'criterion': 'absolute_error', 'min_samples_split': 3, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.129837343424963, 'min_impurity_decrease': 0.3168838802773212, 'max_features': 0.41284242788980774, 'subsample': 0.30177208468662864, 'dropout_rate': 0.30662062754722597, 'ccp_alpha': 3.2598966023615534}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:14:08,994][0m Trial 49 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.001077076250778742, 'n_estimators': 102, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.2674447689114136, 'min_impurity_decrease': 0.44878341105908737, 'max_features': 0.7845319868553992, 'subsample': 0.08934073257540548, 'dropout_rate': 0.0994074592453999, 'ccp_alpha': 1.068581590569808}. Best is trial 20 with value: 0.6628528132859424.[0m
